city,extent_minX,extent_maxX,extent_minY,extent_maxY,PointA_X,PointA_Y,PointB_X,PointB_Y
Amman,3223755,3287827,3846208,3895576,3264325,3892569,3232677,3850791
Ankara,2735282,2836498,4736474,4822138,2824260,4814235,2745990,4749222
Athens,1989706,2087192,4515427,4599978,2060000,4590000,2046507,4558500
Brussels,310000,350000,5940000,5980000,339418,5976021,314448,5950887
Cairo,2818595,2922293,3610042,3691519,2895751,3688124,2828780,3628868
Frankfurt,607343,706751,5851007,5914297,687864,5909327,622586,5858629
London,-75016,40977,5996635,6079006,26651,6065615,-36618,6005124
Milano,672756,798897,5338012,5450956,757173,5436013,717585,5362270
Moscow,2395648,2882686,6279102,6653825,2637996,6537504,2536847,6334566
Paris,114891,254441,5687255,5802718,214296,5786660,155417,5725105
